Dataset,Model,TopK,Seeds,Count,recall_mean,recall_std,ndcg_mean,ndcg_std,recall_head_mean,recall_head_std,recall_tail_mean,recall_tail_std,recall_nh_mean,recall_nh_std,non_head_share_mean,non_head_share_std
clean_amazon_reduced_min5,MostPopIndependent,10,42/43/44/45/46/47,6,0.028220848702355982,0.0036890855697208316,0.013302506196904465,0.0020198126808070515,0.06454566957406127,0.008391119448874077,0.0,0.0,0.0,0.0,0.0,0.0
clean_amazon_reduced_min5,LightGCN,10,42/43/44/45/46/47,6,0.031147885997851052,0.0035763553871343006,0.017519962791137583,0.0024974384916794335,0.07029984238028462,0.0075340719752696175,0.0007928709844700834,0.001143830176221886,0.0008496957393548332,0.0013807778026592402,0.29754594091649217,0.025049029775622397
clean_amazon_reduced_min5,NCL,10,42/43/44/45/46/47,6,0.032565712956501465,0.005174249904963682,0.01772104026819025,0.002837213972272543,0.0728757609496626,0.011160848929464253,0.0010716040284942001,0.001398518263856319,0.0010809165728445501,0.0015861956238174013,0.2811584089323098,0.03903653874734215
clean_amazon_reduced_min5,AsymLightGCN,10,42/43/44/45/46/47,6,0.04650734239010579,0.005937147599403592,0.023234779228061418,0.003480047717378855,0.06220874210437737,0.0116037483741965,0.040905390003368784,0.007130172295571821,0.033785710989937635,0.005922801484751643,0.16224703419399858,0.012749688607227966
clean_amazon_reduced_min5,AsymLightGCN (Gamma=0 eval-only),10,42/43/44/45/46/47,6,0.04596485742682529,0.005135276627887295,0.023200614939692717,0.0035629034888990177,0.0585603109383799,0.010929762151333995,0.04320347972071628,0.005961595047422716,0.03567583325272799,0.004990942399450298,0.1832751802744824,0.013787223694233231
clean_amazon_reduced_min5,MostPopIndependent,50,42/43/44/45/46/47,6,0.08511744903929129,0.0066334641854188265,0.02559302863270428,0.002351192478459366,0.19544311228433628,0.015412762947139393,0.0,0.0,0.0,0.0,0.0,0.0
clean_amazon_reduced_min5,LightGCN,50,42/43/44/45/46/47,6,0.087765704095083,0.0026133383882964278,0.0300410070280723,0.0019327081285365128,0.19568714030914594,0.0035327077203538095,0.0024607591343368,0.002352323260977619,0.0038935946343702336,0.0025289388317305617,0.3496952779716213,0.03504910673448756
clean_amazon_reduced_min5,NCL,50,42/43/44/45/46/47,6,0.09060357336700665,0.0040826320095304035,0.030368640882220087,0.002166691252163997,0.20212199036078227,0.00921939957969835,0.0025798482597572166,0.0024471866305120953,0.004018856256095167,0.0029116530275723612,0.31776692254012556,0.0568559635696119
clean_amazon_reduced_min5,AsymLightGCN,50,42/43/44/45/46/47,6,0.1297327023600575,0.006961192283709946,0.0412616952402079,0.0038162828176851187,0.1958532951666312,0.017298588037562908,0.09202802007399347,0.008744860998500869,0.07684489086987643,0.00679871355409086,0.1804954640614096,0.01715577234421268
clean_amazon_reduced_min5,AsymLightGCN (Gamma=0 eval-only),50,42/43/44/45/46/47,6,0.12845789164700536,0.007716514221864459,0.04108999126970455,0.004104348375632742,0.18516934409227767,0.018486090947159743,0.0990739510319991,0.009851361463398475,0.0827568333196153,0.008032921108152711,0.20349383577576177,0.019634490447952405
